CustomerID,Title,FirstName,MiddleName,LastName,Suffix,CompanyName,SalesPerson,EmailAddress,Phone,Gender,Timestamp,Salary
1,Mr.,Orlando,N.,Gee,,A Bike Store,adventure-works\\pamela0,orlando0@adventure-works.com,245-555-0173,M,2022-11-16-09:51:00,20000
2,Mr.,Keith,,Harris,,Progressive Sports,adventure-works\\david8,keith0@adventure-works.com,170-555-0127,M,2022-11-16-09:51:01,20001
3,Ms.,Donna,F.,Carreras,,Advanced Bike Components,adventure-works\\jillian0,donna0@adventure-works.com,279-555-0130,M,2022-11-16-09:51:02,20002
4,Ms.,Janet,M.,Gates,,Modular Cycle Systems,adventure-works\\jillian0,janet1@adventure-works.com,710-555-0173,M,2022-11-16-09:51:03,20003
5,Mr.,Lucy,,Harrington,,Metropolitan Sports Supply,adventure-works\\shu0,lucy0@adventure-works.com,828-555-0186,M,2022-11-16-09:51:04,20004
6,Ms.,Rosmarie,J.,Carroll,,Aerobic Exercise Company,adventure-works\\linda3,rosmarie0@adventure-works.com,244-555-0112,M,2022-11-16-09:51:05,20005
7,Mr.,Dominic,P.,Gash,,Associated Bikes,adventure-works\\shu0,dominic0@adventure-works.com,192-555-0173,M,2022-11-16-09:51:06,20006
10,Ms.,Kathleen,M.,Smith,,Rural Cycle Emporium,adventure-works\\josé1,kathleen0@adventure-works.com,150-555-0127,M,2022-11-16-09:51:07,20007
11,Ms.,Katherine,,Harding,,Sharp Bikes,adventure-works\\josé1,katherine0@adventure-works.com,926-555-0159,M,2022-11-16-09:51:08,20008
12,Mr.,Johnny,A.,Caprio,Jr.,Bikes and Motorbikes,adventure-works\\garrett1,johnny0@adventure-works.com,112-555-0191,F,2022-11-16-09:51:09,20009
16,Mr.,Christopher,R.,Beck,Jr.,Bulk Discount Store,adventure-works\\jae0,christopher1@adventure-works.com,1 (11) 500 555-0132,M,2022-11-16-09:51:10,20010
18,Mr.,David,J.,Liu,,Catalog Store,adventure-works\\michael9,david20@adventure-works.com,440-555-0132,F,2022-11-16-09:51:11,20011
19,Mr.,John,A.,Beaver,,Center Cycle Shop,adventure-works\\pamela0,john8@adventure-works.com,521-555-0195,M,2022-11-16-09:51:12,20012
20,Ms.,Jean,P.,Handley,,Central Discount Store,adventure-works\\david8,jean1@adventure-works.com,582-555-0113,M,2022-11-16-09:51:13,20013
21,Ms.,Jinghao,,Liu,,Chic Department Stores,adventure-works\\jillian0,jinghao1@adventure-works.com,928-555-0116,M,2022-11-16-09:51:14,20014
22,Ms.,Linda,E.,Burnett,,Travel Systems,adventure-works\\jillian0,linda4@adventure-works.com,121-555-0121,M,2022-11-16-09:51:15,20015
23,Mr.,Kerim,,Hanif,,Bike World,adventure-works\\shu0,kerim0@adventure-works.com,216-555-0122,M,2022-11-16-09:51:16,20016
24,Mr.,Kevin,,Liu,,Eastside Department Store,adventure-works\\linda3,kevin5@adventure-works.com,926-555-0164,M,2022-11-16-09:51:17,20017
25,Mr.,Donald,L.,Blanton,,Coalition Bike Company,adventure-works\\shu0,donald0@adventure-works.com,357-555-0161,M,2022-11-16-09:51:18,20018
28,Ms.,Jackie,E.,Blackwell,,Commuter Bicycle Store,adventure-works\\josé1,jackie0@adventure-works.com,972-555-0163,F,2022-11-16-09:51:19,20019
29,Mr.,Bryan,,Hamilton,,Cross-Country Riding Supplies,adventure-works\\josé1,bryan2@adventure-works.com,344-555-0144,F,2022-11-16-09:51:20,20020
30,Mr.,Todd,R.,Logan,,Cycle Merchants,adventure-works\\garrett1,todd0@adventure-works.com,783-555-0110,F,2022-11-16-09:51:21,20021
34,Ms.,Barbara,J.,German,,Cycles Wholesaler & Mfg.,adventure-works\\jae0,barbara4@adventure-works.com,1 (11) 500 555-0181,F,2022-11-16-09:51:22,20022
37,Mr.,Jim,,Geist,,Two Bike Shops,adventure-works\\pamela0,jim1@adventure-works.com,724-555-0161,F,2022-11-16-09:51:23,20023
38,Ms.,Betty,M.,Haines,,Finer Mart,adventure-works\\david8,betty0@adventure-works.com,867-555-0114,F,2022-11-16-09:51:24,20024
39,Ms.,Sharon,J.,Looney,,Fitness Hotel,adventure-works\\jillian0,sharon2@adventure-works.com,377-555-0132,F,2022-11-16-09:51:25,20025
40,Mr.,Darren,,Gehring,,Journey Sporting Goods,adventure-works\\jillian0,darren0@adventure-works.com,417-555-0182,F,2022-11-16-09:51:26,20026
41,Ms.,Erin,M.,Hagens,,Distant Inn,adventure-works\\shu0,erin1@adventure-works.com,244-555-0127,F,2022-11-16-09:51:27,20027
42,Mr.,Jeremy,,Los,,Healthy Activity Store,adventure-works\\linda3,jeremy0@adventure-works.com,911-555-0165,F,2022-11-16-09:51:28,20028
43,Ms.,Elsa,,Leavitt,,Frugal Bike Shop,adventure-works\\shu0,elsa0@adventure-works.com,482-555-0174,F,2022-11-16-09:51:29,20029
46,Mr.,David,O,Lawrence,,Gear-Shift Bikes Limited,adventure-works\\josé1,david19@adventure-works.com,653-555-0159,F,2022-11-16-09:51:30,20030
47,Ms.,Hattie,J.,Haemon,,Greater Bike Store,adventure-works\\josé1,hattie0@adventure-works.com,141-555-0172,F,2022-11-16-09:51:31,20031
48,Ms.,Anita,R.,Lucerne,,Grand Industries,adventure-works\\garrett1,anita0@adventure-works.com,164-555-0118,F,2022-11-16-09:51:32,20032
52,Ms.,Rebecca,,Laszlo,,Instruments and Parts Company,adventure-works\\jae0,rebecca2@adventure-works.com,1 (11) 500 555-0155,F,2022-11-16-09:51:33,20033
55,Mr.,Eric,,Lang,,Kickstands and Accessories Company,adventure-works\\pamela0,eric6@adventure-works.com,932-555-0163,F,2022-11-16-09:51:34,20034
56,Mr.,Brian,,Groth,,Latest Accessories Sales,adventure-works\\david8,brian5@adventure-works.com,461-555-0118,F,2022-11-16-09:51:35,20035
57,Ms.,Judy,R.,Lundahl,,Leading Sales & Repair,adventure-works\\jillian0,judy1@adventure-works.com,260-555-0130,F,2022-11-16-09:51:36,20036
58,Mr.,Peter,,Kurniawan,,Largest Bike Store,adventure-works\\jillian0,peter4@adventure-works.com,436-555-0160,F,2022-11-16-09:51:37,20037
59,Mr.,Douglas,,Groncki,,Locks Company,adventure-works\\shu0,douglas2@adventure-works.com,385-555-0140,F,2022-11-16-09:51:38,20038
60,Mr.,Sean,J.,Lunt,,Main Bicycle Services,adventure-works\\linda3,sean4@adventure-works.com,183-555-0111,F,2022-11-16-09:51:39,20039
