customer_id,name,email,city,state,country,signup_date,loyalty_status
C2000,Tiffany Gonzalez,william66@hotmail.com,South Erin,New York,India,2024-09-14,Platinum
C2001,Christian Martinez,raymond54@ballard-taylor.org,Cindyburgh,Texas,India,2024-04-28,Gold
C2002,Kristy Robinson,jennifer83@gmail.com,Tommyland,Oregon,India,2024-12-25,Platinum
C2003,Pamela Jackson,glenda22@daniels.com,Alexiston,Minnesota,India,2023-02-09,Platinum
C2004,Nicole Wilson,icraig@yahoo.com,West Margaret,Michigan,India,2024-06-27,Silver
C2005,Traci Rodriguez,millsanthony@gmail.com,North Tracytown,Colorado,India,2025-08-14,Platinum
C2006,Eric Byrd,gonzalezkaren@terrell.com,Belltown,Mississippi,India,2025-03-10,Gold
C2007,Jennifer Espinoza,vaughnkenneth@johnson.net,West Devinport,California,India,2025-04-30,Platinum
C2008,Michael Burton,yyoung@roberts.biz,North Jennifer,Idaho,India,2024-03-08,Silver
C2009,Raymond Jefferson,tammy00@hotmail.com,Lake James,Florida,India,2025-08-08,Silver
C2010,Barbara Riggs,christinenorman@yahoo.com,West Jefferyfort,South Carolina,India,2024-10-10,Gold
C2011,Hannah Patterson,kari89@parsons.com,Johnfurt,Maryland,India,2022-10-22,Silver
C2012,Jonathan Peterson,tonyajones@gmail.com,Rossville,Utah,India,2024-04-22,Platinum
C2013,Samantha Garcia,rwilliams@baker.com,Samanthaport,Montana,India,2022-11-09,Gold
C2014,Madison Poole,jmckinney@gmail.com,New Ryan,Georgia,India,2024-10-06,Gold
C2015,Jessica Gross,candice94@tyler-pierce.com,Lindaberg,Delaware,India,2023-01-22,Gold
C2016,Debra Morton,susanmeyer@hotmail.com,West Derek,Texas,India,2024-09-16,Gold
C2017,Karen Graham,zdaniels@bailey.com,West Kevin,Illinois,India,2023-10-06,Gold
C2018,Debra Christian,kelly98@yahoo.com,Ashleymouth,South Dakota,India,2025-01-01,Platinum
C2019,Angelica Keith,caldwellsean@austin.com,South Kimberly,Massachusetts,India,2023-01-30,Gold
C2020,John Bishop,cruzamber@yahoo.com,Davishaven,Maine,India,2023-01-16,Gold
C2021,Allen Rosales,willie87@williams-villanueva.com,Bensonhaven,Virginia,India,2023-09-26,Silver
C2022,Daniel Salinas,vaughangary@hotmail.com,Taylorchester,Colorado,India,2025-05-17,Gold
C2023,Spencer Haynes,clarkcrystal@hancock.com,Fisherchester,Minnesota,India,2023-02-03,Silver
C2024,Adam Vaughan,elucas@parks.com,Johnsonside,Rhode Island,India,2024-08-16,Platinum
C2025,Nathan Freeman,brownlaura@jones.biz,Port Robertberg,New York,India,2024-04-22,Platinum
C2026,Melissa Brewer,bmccoy@yahoo.com,Kristinshire,Alaska,India,2024-02-16,Platinum
C2027,Ricky Davis II,inunez@may.com,Davidside,South Carolina,India,2023-09-19,Platinum
C2028,Elizabeth Perkins,howardwesley@buchanan-turner.com,Brianfurt,Pennsylvania,India,2025-04-04,Silver
C2029,Joseph Coleman,qjames@gmail.com,South Elizabeth,Nebraska,India,2024-09-08,Gold
C2030,Erin Warner,amandataylor@yahoo.com,Aguirrehaven,Hawaii,India,2022-11-02,Silver
C2031,David Martinez,kennetheaton@hotmail.com,Combsland,Mississippi,India,2024-01-24,Platinum
C2032,Bryan Herrera,spencerangela@gmail.com,West Mariaville,Kentucky,India,2024-01-04,Silver
C2033,Cathy Robinson,armstrongphillip@arroyo.com,Brookeport,Illinois,India,2025-01-15,Platinum
C2034,Dr. William Warren,gwhitehead@martin.org,Vaughnton,North Carolina,India,2025-09-07,Gold
C2035,Brian Lee,dannylambert@hotmail.com,Lake Brendahaven,Louisiana,India,2024-08-10,Platinum
C2036,Christopher Smith,enewman@powers-king.com,Lake Jamieberg,North Dakota,India,2023-08-12,Gold
C2037,Denise Mccann,michael31@yahoo.com,Taylorberg,Alaska,India,2025-04-20,Gold
C2038,Melissa Martinez,louishayes@hopkins.org,Courtneytown,New York,India,2024-06-08,Silver
C2039,Katherine Salas,susan20@yahoo.com,Hansonborough,Massachusetts,India,2023-02-04,Silver
C2040,Julie Alexander,jenniferdavidson@larsen-taylor.com,North Aaronville,Hawaii,India,2022-09-25,Silver
C2041,Anthony Everett,xgriffin@yahoo.com,East Jamesfort,Arkansas,India,2025-08-07,Silver
C2042,Rodney Morales,thompsoncatherine@yahoo.com,Port Williamfurt,Tennessee,India,2023-03-28,Gold
C2043,Mark Brown,josemercado@luna.net,North Kevinfort,Kansas,India,2025-03-19,Gold
C2044,Justin Torres,nhammond@arnold.net,Port Jimmy,Vermont,India,2025-07-24,Platinum
C2045,Bailey Duran DDS,michaelwalker@hotmail.com,Lorrainemouth,Maryland,India,2022-10-23,Gold
C2046,Courtney Mills,stevendixon@yahoo.com,South Dustintown,Kentucky,India,2024-11-04,Silver
C2047,Jeremy Dalton,batesmelanie@hotmail.com,East Lori,New Hampshire,India,2024-07-31,Gold
C2048,Elizabeth Oliver DDS,seanwhite@hopkins.info,East William,Nevada,India,2022-12-26,Platinum
C2049,Theresa Clark,robinsontony@gmail.com,South Timothy,Michigan,India,2024-10-28,Silver
C2050,Matthew Moore,jim38@yahoo.com,Elizabethshire,Arizona,India,2023-06-18,Silver
C2051,Benjamin Smith,chardin@gmail.com,Richardsonview,Louisiana,India,2024-08-29,Gold
C2052,Kirk Carter,padillaadrienne@yahoo.com,Cruzville,West Virginia,India,2023-11-10,Gold
C2053,Michael Warner,nicholasgray@hotmail.com,Butlerchester,Wisconsin,India,2025-08-27,Platinum
C2054,Michael Bradshaw,nicholas38@gomez-parrish.info,North Justin,Texas,India,2025-02-03,Silver
C2055,Lori Guerrero,shawdon@gmail.com,New Pedroshire,New Jersey,India,2024-05-05,Gold
C2056,Jessica Stephens,robertsonjuan@lopez.org,Austinmouth,Texas,India,2024-12-20,Platinum
C2057,Susan Serrano,robertrivera@olson.info,West Sydneymouth,Colorado,India,2025-06-21,Silver
C2058,Christopher Parker,deborahjenkins@williams.org,Hillburgh,Michigan,India,2022-11-24,Silver
C2059,Laura Roberts,crystalwilliams@thomas.net,Vincenthaven,Oklahoma,India,2023-10-08,Gold
C2060,Michael Lyons,johnsjessica@yahoo.com,West Rachel,Arizona,India,2025-03-07,Gold
C2061,Kathryn Snyder,shanehaney@jackson-greer.org,Palmerburgh,Florida,India,2023-03-11,Silver
C2062,Andrew Reynolds,cindydixon@ramsey.info,West Diana,South Carolina,India,2025-08-29,Silver
C2063,David Davis,nicholasanderson@harris.biz,Stephenberg,Alabama,India,2024-11-20,Platinum
C2064,Sara Johnston,thompsonrachel@williams.com,Kristenport,West Virginia,India,2024-10-11,Silver
C2065,Yvonne Chambers,mhopkins@carey.biz,Jonesfort,Oregon,India,2023-06-07,Gold
C2066,Andrew Avila,nancy86@gmail.com,Estesburgh,Alaska,India,2024-08-11,Silver
C2067,Matthew Moon,zbell@hotmail.com,Davidmouth,Maryland,India,2023-12-09,Silver
C2068,Kevin Walters,eanderson@kent.com,Breannafurt,Missouri,India,2023-05-20,Platinum
C2069,Brandon Bailey MD,jacob09@hotmail.com,North Anthonyburgh,Illinois,India,2022-11-10,Gold
C2070,Shannon Rivera,brooksjamie@ortiz-rodriguez.biz,North Elizabeth,New Mexico,India,2023-12-04,Platinum
C2071,Donna Landry,melissa69@yahoo.com,Villafort,Missouri,India,2025-03-31,Gold
C2072,Krista Gibson,afischer@hotmail.com,Kathleenbury,Missouri,India,2024-02-06,Gold
C2073,Frank Cordova,mitchellpeters@yahoo.com,East Jessicafurt,Arizona,India,2024-07-03,Gold
C2074,Jose Travis,kim62@hotmail.com,Nielsenton,Vermont,India,2023-02-27,Gold
C2075,Kimberly Gutierrez,seanlyons@garcia.biz,Dannyland,Utah,India,2025-08-11,Gold
C2076,Isaiah Avila,martintamara@gmail.com,Hinestown,Louisiana,India,2023-05-08,Silver
C2077,Olivia Harris,thomasburke@brown.com,West Daniel,Vermont,India,2023-01-07,Silver
C2078,Tanya Kim,ramseysarah@mendez-meyer.org,Grayshire,Missouri,India,2023-07-16,Platinum
C2079,Barbara Dudley,daniellegonzales@jefferson.com,East Johnny,Michigan,India,2024-09-27,Silver
C2080,Cynthia Moore,bowerswilliam@hall.com,Sheltonbury,Mississippi,India,2024-10-04,Platinum
C2081,Kristen Davis,christopherhill@gomez-foster.org,Lake Fernando,North Carolina,India,2023-10-01,Gold
C2082,Susan Murray MD,mclaughlincasey@dunn.net,North Brandi,Nevada,India,2022-09-18,Silver
C2083,Kathleen Moran,sylvia43@hotmail.com,East Arthurberg,Nebraska,India,2024-05-03,Gold
C2084,Denise Davenport,kspears@green.net,West Kimshire,Virginia,India,2025-06-21,Platinum
C2085,Mrs. Kristen Reyes,gordonmatthew@pratt.net,West Jacobhaven,Michigan,India,2023-06-11,Silver
C2086,Katie Suarez,kchurch@yahoo.com,Leeborough,Florida,India,2024-04-17,Silver
C2087,Desiree Tyler,susan77@atkins.biz,Masonstad,Minnesota,India,2022-11-17,Platinum
C2088,Timothy Romero,laurengutierrez@black-smith.com,Port Carlos,Washington,India,2023-12-23,Silver
C2089,Diane Evans,christopher51@velazquez.org,Garrettland,Kentucky,India,2023-06-20,Platinum
C2090,Yvonne Burns,staceyvega@gmail.com,East Kimberlyport,Oklahoma,India,2023-08-23,Platinum
C2091,Joshua Reed,jimmyallen@yahoo.com,North Victorton,Illinois,India,2024-02-20,Silver
C2092,Kimberly Gibson,jameswright@kelly.com,Andrewport,New York,India,2025-08-06,Silver
C2093,Colin Terry,duranamber@gmail.com,Peterstad,Maine,India,2025-03-04,Platinum
